19,2,2,2,13,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,111,0,1,15,8,3,12,10,0,1,11,7,6,12,6,2,3.8,2.2,1.25,3,1.2,0,0,23,18,15,20,4.2,3.75,1,8,3,3,1,2.75,2,2,2.25,2.6667,2.25,3,2.1,2.4286,54,23,16,17,6,11,5,18,6,6,7,9,11,5,8,10,5,5,10,27,20,0.79375,1,12,13,11,8,9,14,14,11,10,14,8,2,3,7,6,4,3,4,-0.59258
19,2,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,1,13,4,5,12,25,0,0,11,0,0,0,0,0,3.6,3.8,2.5,4.2,1.6,0,0,14,9,13,22,4.7,4.875,0,2,2,1,0,2.25,2.3333,1,2,2.6667,2.75,1.6667,1.8,2.1429,60,31,17,18,9,5,6,17,9,15,9,20,16,5,7,10,7,6,8,28,22,1.0437,0,7,5,5,11,7,7,10,12,6,7,0,0,0,8,9,5,9,10,0.19036
19,2,2,6,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,135,0,1,5,2,0,1,5,0,0,0,1,1,1,4,1,2.6,1,1,2.6,1,1,2,13,14,10,12,5,4.5,0,1,0,0,0,1.75,2,1,4,4,4,2.6667,2.9,3.7143,38,17,9,10,8,9,3,20,5,11,9,8,10,7,6,6,3,13,10,31,10,0.7625,4,9,5,5,5,5,14,13,13,8,15,6,1,0,8,1,2,0,0,0.28822
18,1,2,1,12,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,195,0,1,1,0,0,0,2,0,0,0,8,8,5,0,9,3.8,1.6,1,3,1.2,1,2,9,16,9,14,5.8,5.625,6,8,7,5,3,2.625,2,1.3333,2.5,3.6667,3.25,2,2.3,2.7143,20,10,8,6,6,3,4,40,5,6,9,8,8,5,6,11,4,5,8,30,4,2.4813,0,17,5,5,10,15,12,9,12,6,14,0,0,0,5,1,2,4,5,-1.5713
19,2,2,6,13,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,170,0,1,13,5,2,11,16,0,2,15,6,6,20,12,9,3.2,1.4,1,3.6,1,0,0,13,16,18,21,5.3,4.625,4,9,5,4,3,3.25,3,3.3333,2,3,2.75,2,1.6,1.8571,44,23,13,9,9,5,5,19,7,7,7,10,6,5,4,16,6,7,7,16,7,1.8125,0,24,13,5,12,18,12,8,12,14,16,0,0,0,12,4,1,4,3,0.48396
19,2,2,1,13,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,145,0,1,39,12,8,13,31,0,17,28,4,3,10,13,7,3.4,1.6,1.125,3.6,1.6,1,4,13,9,13,23,4.3,4.875,7,9,1,3,1,3.25,3,1,1.75,1.6667,1.5,1.6667,1.7,2,75,39,17,23,13,12,6,15,6,17,7,18,24,7,8,11,7,5,9,19,10,1.3813,10,21,11,11,19,12,11,12,11,9,9,7,0,4,12,6,1,6,8,0.28822
19,2,2,1,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,1,6,5,0,3,5,0,3,2,3,6,7,1,4,1.4,1,1,1,1,1,8,30,17,17,26,4,4.375,4,4,1,0,0,2.75,4,2,1.5,1,1.75,2,3.1,4,27,12,8,9,6,3,5,25,7,11,8,8,9,5,7,6,6,5,10,34,17,0.99375,0,16,5,19,15,9,11,11,12,9,13,0,0,0,7,5,6,1,6,0.87543
18,1,2,1,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,180,0,1,6,1,0,0,6,0,0,13,0,0,1,4,1,3.4,1.6,1.125,3.2,1.2,1,2,21,15,21,22,5,4.375,5,5,1,2,0,2.375,3,1,3,2.3333,2,2,2.6,3.2857,44,18,17,12,6,4,12,13,7,6,8,8,7,7,4,7,5,7,7,24,14,1.5813,31,7,5,5,9,8,10,13,11,7,12,9,1,0,6,2,5,5,6,-0.78832
19,1,2,3,12,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,199.8,0,2,18,4,3,7,12,0,0,3,2,1,6,5,0,1.2,2.8,3.125,1.8,1,0,0,17,16,16,16,5.3,5,1,3,0,0,0,2.25,2.3333,2,3,2.3333,2.5,1.6667,1.8,2.1429,49,22,18,14,6,6,5,20,6,8,6,11,12,5,4,8,3,5,7,18,13,1.2937,9,9,9,5,14,7,8,12,9,5,8,10,0,1,11,3,2,13,9,-0.20111
19,2,2,1,13,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,168,0,1,11,6,4,2,13,0,1,12,10,3,13,6,6,1,1,1,1,1,0,0,19,18,22,27,4.7,2.25,3,7,4,1,2,2.5,4,1.6667,1.5,2,2.25,2.3333,1.3,1.7143,36,19,11,6,8,3,7,18,8,9,14,10,9,5,9,7,5,7,11,32,23,0.6,3,23,5,7,13,12,9,11,12,15,11,8,2,0,3,4,8,3,9,0.58183
18,2,2,1,12,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,190,0,1,16,8,7,4,13,1,5,18,5,1,8,4,10,1.8,1.8,1,1.2,2.6,0,0,12,16,13,23,5.2,4.625,7,6,7,1,2,2.75,2.6667,1.3333,2.5,2.6667,2.25,3,4.3,4.7143,54,25,17,17,6,6,4,20,5,10,6,15,20,6,5,7,9,13,12,32,17,2.5688,0,16,5,13,15,9,9,14,14,14,14,0,0,0,9,7,1,1,5,1.8541
17,2,2,3,12,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,125,0,1,11,6,1,2,12,0,0,14,1,2,3,0,4,2.6,1,1,1.6,1,1,3,19,11,9,16,3,4.375,4,3,1,0,0,2.375,3.3333,1.3333,1.75,1.6667,2,1,1.2,1.2857,47,26,19,12,6,3,4,15,6,9,6,11,11,5,4,11,5,5,14,34,13,0.55625,7,6,5,5,13,5,14,11,12,13,15,3,1,0,3,3,0,4,4,-0.99172
18,2,2,2,13,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,126,0,1,9,4,0,8,7,0,6,14,2,4,14,14,3,3,2,2,2,2.2,1,5,16,12,12,25,3.5,3.125,1,6,6,3,2,2.875,2.3333,2,2.5,3.3333,2.5,3.3333,1,1,57,22,18,22,8,12,10,20,10,19,7,10,10,5,7,17,9,9,7,41,24,0.45625,13,10,8,7,10,9,9,13,14,8,13,12,0,2,12,4,1,8,9,-1.1798
18,1,1,6,12,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,1,8,3,0,2,5,0,0,1,2,2,2,3,7,3.8,1.4,1,2.6,3,0,0,14,10,16,20,4.7,3.375,3,7,6,0,2,2,2,1.6667,2.25,3,2.5,2,0.8,1,28,13,14,8,6,3,5,29,5,12,9,10,16,5,6,10,10,7,8,22,21,0.5375,3,7,8,5,11,9,15,13,12,8,12,7,0,0,4,2,1,2,2,-0.88618
18,2,2,1,12,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,120,0,1,11,10,3,4,14,0,0,13,3,0,8,6,3,3.2,2.4,1.625,4.2,1.2,0,0,26,19,21,18,3.7,4.375,2,6,1,1,1,2,3.6667,1,1.75,1.6667,1.5,2,1.6,1.8571,55,30,16,12,6,5,7,19,8,12,8,9,19,7,7,5,6,5,8,21,12,0.66875,14,20,7,5,17,7,9,12,8,9,9,12,0,1,10,3,5,9,7,0.48396
18,2,2,6,13,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,1,13,4,3,2,6,0,0,1,6,3,6,2,1,3,1.8,1.5,3,1.2,1,2,9,8,8,20,5.5,5.875,6,6,1,2,1,3,3.3333,1,2,1,2.25,1.3333,3,3.2857,36,13,15,11,6,7,9,31,7,10,9,11,14,5,7,9,6,5,8,32,11,1.45,0,14,5,5,17,6,15,13,12,11,15,1,0,0,6,4,3,3,3,-0.98405
16,2,2,1,11,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,155,0,1,29,11,11,11,33,0,8,37,15,6,17,14,6,2.6,1,1,1.8,1,0,0,18,20,28,31,2.1,3.5,8,12,7,3,3,2,3.6667,1,2,1.3333,1.75,1.6667,2.5,3.1429,59,28,12,18,8,12,8,14,15,15,9,18,20,9,11,10,7,12,27,21,17,5.6187,0,18,7,5,17,14,10,11,10,15,14,7,0,0,7,9,6,0,7,0.24956
19,2,2,1,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,210,0,2,5,1,1,2,2,0,0,0,0,0,0,2,0,2.6,1,1,1,1,0,0,22,8,9,14,5.6,5.75,1,2,0,0,0,1.625,2,1,2.5,4,3.25,1.6667,1.9,2.2857,33,12,14,11,6,6,3,35,5,6,5,9,6,10,4,5,6,8,7,32,6,2.2938,1,6,5,5,6,5,16,12,11,7,16,6,1,0,3,0,0,1,0,-1.2777
19,2,2,1,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,145,0,1,2,2,0,0,0,0,0,7,4,4,3,0,3,4.2,1,1,2.2,2,0,0,12,13,13,22,4.3,2.75,2,7,4,1,2,1.75,3,1,2.25,2.3333,1.75,1.3333,2.2,2.1429,27,12,6,7,6,4,4,29,5,11,14,8,9,5,7,6,6,11,8,29,22,0.95,4,13,9,5,15,7,10,13,12,15,13,6,1,0,5,8,2,2,6,-0.20111
18,2,1,2,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,37,12,15,9,11,1,0,19,2,3,9,5,0,2.2,2.2,1.25,1.6,1,0,0,31,20,20,24,4.2,4.5,2,6,4,0,0,2.125,2.3333,1.3333,2,2,2.5,1,2.3,2.2857,40,18,11,10,6,5,4,25,8,8,7,15,19,13,5,13,7,13,10,21,22,1.325,11,13,6,5,10,5,13,12,12,11,14,10,0,0,7,8,3,2,12,1.169
18,2,2,1,13,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,135,0,1,15,5,2,9,9,0,0,18,5,4,13,7,8,3,1.2,1.25,3.2,1.8,1,5,17,11,11,15,4.7,4.25,6,7,2,3,3,2.5,3.6667,1.6667,1.5,2.3333,2.25,2,1.7,2,43,20,13,13,8,6,7,23,5,7,10,9,8,5,7,11,9,8,10,34,16,1.425,13,18,15,6,18,11,12,9,12,10,15,14,3,1,7,5,4,3,1,-1.4734
18,2,2,1,12,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,125,0,1,42,8,7,5,34,0,12,30,10,4,20,12,11,2.8,1.2,1,1,1.6,0,0,11,10,12,25,4,4.75,5,10,7,3,3,3.25,4,1.6667,1.5,2,2.25,3.6667,2.2,2.5714,66,35,20,7,13,10,3,12,8,13,9,17,26,6,8,9,8,9,7,21,16,2.5625,0,17,12,5,17,19,4,11,11,7,12,0,0,0,13,8,3,6,8,0.77756
19,2,2,1,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,130,0,1,30,11,7,12,18,1,0,9,8,2,9,3,4,3,1.8,1.125,1.2,1.2,0,0,13,20,26,27,4.5,5.125,8,4,3,2,0,3.25,3,1.3333,2.25,2.6667,2.25,3,2.2,2.7143,53,28,9,8,7,10,9,22,7,6,9,10,13,7,8,5,11,9,8,30,16,3.125,10,9,5,6,14,7,14,11,11,10,11,4,0,5,12,5,5,3,2,0.87543
18,2,2,1,12,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,2,5,2,1,4,18,0,6,20,7,1,9,9,5,1.6,1,1,1.2,1,0,0,28,21,22,20,3.7,4,1,5,0,0,3,2.375,3.3333,2,1.75,2,1.75,1,2,2.4286,42,21,10,6,7,6,3,17,8,10,9,9,9,5,10,7,4,6,7,18,16,0.6125,13,20,5,5,17,8,10,12,12,12,11,7,2,2,7,9,10,4,10,-0.0053773
